Data,Bom Pastor,Fiat,Filhas da Imaculada,São Pedro,São Rafael
01/08/2024,Não Lançada,Não Lançada,Não Lançada,Não Lançada,Não Lançada
08/08/2024,Não Lançada,Não Lançada,Não Lançada,Não Lançada,Não Lançada
15/08/2024,Não Lançada,Não Lançada,Não Lançada,Não Lançada,Não Lançada
22/08/2024,Não Lançada,Não Lançada,Não Lançada,Não Lançada,Não Lançada
29/08/2024,Lançada,Não Lançada,Não Lançada,Não Lançada,Não Lançada
05/09/2024,Lançada,Lançada,Não Lançada,Lançada,Não Lançada
12/09/2024,Lançada,Lançada,Não Lançada,Lançada,Não Lançada
19/09/2024,Lançada,Lançada,Lançada,Lançada,Não Lançada
26/09/2024,Lançada,Lançada,Não Lançada,Não Lançada,Não Lançada
03/10/2024,Não Lançada,Lançada,Lançada,Não Lançada,Não Lançada
10/10/2024,Não Lançada,Não Lançada,Não Lançada,Não Lançada,Não Lançada
