Data,Regina Caeli,Sagrada Família,Teshuvá
07/08/2024,Não Lançada,Não Lançada,Não Lançada
14/08/2024,Não Lançada,Não Lançada,Não Lançada
21/08/2024,Não Lançada,Não Lançada,Não Lançada
28/08/2024,Não Lançada,Não Lançada,Não Lançada
04/09/2024,Não Lançada,Não Lançada,Não Lançada
11/09/2024,Não Lançada,Não Lançada,Não Lançada
18/09/2024,Não Lançada,Não Lançada,Não Lançada
25/09/2024,Não Lançada,Não Lançada,Não Lançada
02/10/2024,Não Lançada,Não Lançada,Não Lançada
09/10/2024,Não Lançada,Não Lançada,Não Lançada
16/10/2024,Não Lançada,Não Lançada,Não Lançada
